product_type,product_name,product_desc,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Apple MacBook Pro 15'' (2017) Touch Bar MPTU2N/A Silver","Op de Apple MacBook Pro 15'' Touch Bar MPTU2N/A Silver bewerk je foto's en video's met behulp van de Touch Bar. Dit is een interactief touchscreen dat toetsen en functies laat zien. Tijdens het bewerken van foto's kies je via de Touch Bar een filter of kleur en tijdens het typen verschijnen er woordsuggesties. Deze MacBook heeft met de Intel i7 Kaby Lake een sterkere processor, hierdoor werk je sneller met meerdere programma's tegelijkertijd. De Touch Bar ondersteunt ook Touch ID, een vingerafdrukscanner waarmee je inlogt en een online aankoop goedkeurt. De vier usb-c aansluitingen zijn geschikt om data over te zetten én deze ultieme eindbaas MacBook op te laden.","2.599,-","Apple","MPTU2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 None","AMD Radeon Pro 555","2000 MB","16 GB","256 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"Acer Aspire E5-774-39HZ","Met zijn 17,3 inch beeldscherm is de Acer Aspire E5-774-39HZ een echte desktopvervanger voor thuis. Check je social media, maak presentaties of kijk ontspannen naar een serie. Binnen 15 seconden ga je aan de slag met de laptop door de 128 GB SSD. Met een extra harde schijf van 500 GB heb je veel extra opslagcapaciteit. Als je bestanden wil overzetten naar een ander apparaat, dan zijn zelfs de grootste bestanden in enkele seconden overgezet via de usb c 3.1 poort.","649,-","Acer","NX.GECEH.065","17,3 inch","1600 x 900 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","128 GB SSD + 500 GB HDD","42,33 cm x 28,19 cm x 3,31 cm","3,1 kg"
Laptops QWERTY,"HP Pavilion X360 14-ba095nd","Gebruik de HP Pavilion X360 14-ba095nd als laptop én als tablet voor alledaagse taken zoals internetten, e-mailen en het maken van aantekeningen. Klap het scherm 360 graden om het toetsenbord heen en gebruik deze 2-in-1 in de stand die jij wilt. Klap het scherm helemaal om en je gebruikt hem als tablet. Swipe op het touchscreen door je apps en maak via Windows Ink met een touchpen aantekeningen tijdens een vergadering of college. Zet de Pavilion X360 in de tentstand om een film te kijken op het IPS paneel, waarop je vanuit elke kijkhoek ware kleuren ziet.","679,-","HP","2HP39EA#ABH","14 inch","None","Intel Core i3 7100U","Intel HD Graphics 620","2000 MB","8 GB","128 GB SSD","33,48 cm x 22,69 cm x 1,99 cm","1,63 kg"
Laptops QWERTY,"Lenovo Yoga 520-14IKBR 81C8006VMH","De Lenovo Yoga 520-14IKBR 81C8006VMH is een laptop en tablet in één waarop je foto's bewerkt en tekeningen maakt. Het 14 inch beeldscherm van deze 2-in-1 ondersteunt Windows Ink, waardoor je aantekeningen maakt en tekent en schrijft alsof je op papier schrijft. Klap het touchscreen 360 graden om en gebruik de Yoga als tablet om al je creatieve ideeën uit te tekenen. Deze bewaar je vervolgens op de 1 TB harde schijf, waarop je al je data opslaat. Dankzij de Core i7 processor werk je met meerdere apps tegelijkertijd en gebruik je moeiteloos zware programma's als Photoshop. Toch een keer een verslag typen? Dat doe je 's avonds op het verlichte toetsenbord van de Yoga.","999,-","Lenovo","81C8006VMH","14 inch","1920 x 1080 pixels","Intel Core i7 8550U","Intel UHD Graphics 620","None","8 GB","128 GB SSD + 1 TB HDD","32,8 cm x 22,9 cm x 1,99 cm","1,7 kg"
Laptops QWERTY,"HP Probook 430 G4 Y8B38ET","","899,-","HP","Y8B38ET#ABH","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","33 cm x 23,35 cm x 1,98 cm","1,49 kg"
Laptops QWERTY,"Acer Chromebook 14 CB3-431-C5K7","","299,-","Acer","NX.GC2EH.002","14 inch","1920 x 1080 pixels","Intel Celeron N3160","Intel HD Graphics","None","4 GB","32 GB Flash","34,1 cm x 23,6 cm x 1,695 cm","1,55 kg"
Laptops QWERTY,"Asus ZenBook UX410UA-GV262T","De Asus ZenBook UX410UA-GV262T gebruik je om te internetten, teksten te schrijven en af en toe wat vakantiefoto's te bewerken, waar je ook bent. Met zijn 1,4 kilo is deze laptop namelijk lekker licht en daarom makkelijk mee te nemen. Dit komt omdat de laptop een 14 inch scherm in een 13 inch behuizing heeft. Klap hem open en ga binnen 15 seconden aan het werk door de 128 GB SSD. Typ zo alvast wat actiepunten uit voor de volgende vergadering of zet de presentatie alvast in elkaar. Wil je je grote bestanden delen met collega's? Dan zet je deze met de usb c 3.1 poort in enkele seconden over. Klaar met werken? Kijk je favoriete serie op het Full HD beeldscherm. En bij weinig licht zie je altijd welke toetsen je indrukt dankzij het verlichte toetsenbord.","749,-","Asus","90NB0DL1-M05040","14 inch","1920 x 1080 pixels","Intel Core i3 7100U","Intel HD Graphics 620","None","8 GB","128 GB SSD","32,3 cm x 22,3 cm x 1,9 cm","1,4 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00NCMH","De Lenovo Ideapad 320-15IAP 80XR00NCMH is een 15,6 inch laptop die je gebruikt voor alledaagse taken, zoals internetten, tekstverwerken en films kijken. Het werkgeheugen van 8 GB zorgt ervoor dat je programma's soepel op de achtergrond laat draaien, zonder last van haperingen te krijgen. Zo stream je muziek via Spotify terwijl je aan een verslag voor school werkt. Lang wachten met het openen van programma's en bestanden hoeft ook niet meer, dankzij de SSD schijf. Hiermee start je een webbrowser en Office programma's in een paar seconden op. Heb je nog een oude dvd collectie liggen? Met de ingebouwde dvd speler speel je jouw favoriete films af op het Full HD beeldscherm.","449,-","Lenovo","80XR00NCMH","15,6 inch","1920 x 1080 pixels","Intel Pentium N4200","Intel HD Graphics 505","None","8 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"HP ZBook 15u G4 i5 8GB 256SSD+1TB","Bekijk de laatste cijfers en bewerk bedrijfsfilms met de HP ZBook 15u G4 i5 8GB 256SSD+1TB. De AMD FirePro W4190M geeft bewegende beelden vloeiend weer, waardoor je zonder haperingen video's bewerkt. Werk je met privacygevoelige informatie? De ingebouwde TPM chip versleutelt je bestanden en alleen jij hebt toegang tot je documenten dankzij de vingerafdrukscanner. Door de stevige aluminium behuizing is de laptop bestand tegen vallen en stoten en neem je hem veilig mee. Ga meteen aan de slag als je bij een klant aankomt, want de SSD schijf start je laptop in ongeveer 15 seconden op. Met Windows 10 Pro maak je via Remote Desktop verbinding met je computer op kantoor, zodat je altijd bij je zakelijke bestanden kunt.","1.299,-","HP","772527","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","AMD FirePro W4190M","2000 MB","8 GB","256 GB SSD + 1 TB HDD","38,33 cm x 25,77 cm x 1,99 cm","1,99 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14IAP 80XQ003YMH","De Lenovo IdeaPad 320-14IAP 80XQ003YMH is een laptop voor simpele digitale taken, zoals films kijken, tekstverwerken en surfen op het net. Met zijn 14 inch neem je hem makkelijk mee naar je werk of naar school, om bijvoorbeeld aantekeningen te maken. Dankzij de 128 GB SSD start je de laptop in ongeveer 15 seconden op, waardoor je meteen aan de slag gaat als je in de collegebanken neerploft. Thuis geniet je nog even van een avondje Netflix met je Ideapad op schoot. Last van weerkaatsend licht en weerspiegelingen heb je niet meer met het anti reflecterende beeldscherm.","399,-","Lenovo","80XQ003YMH","14 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","8 GB","128 GB SSD","33,8 cm x 24,9 cm x 2,27 cm","2,1 kg"
Laptops QWERTY,"HP ProBook 430 G4  i5-8gb-256ssd","Met de HP ProBook 430 G4  i5-8gb-256ssd bewerk je foto's en werk je aan je sheets, presentaties en tekstdocumenten. Alleen jij hebt toegang tot je data dankzij de TPM chip en de vingerafdrukscanner. De robuuste behuizing is militair getest en bestand tegen flinke klappen en valpartijen. Door zijn formaat van 13,3 inch is de ProBook makkelijk mee te nemen in een tas of koffer. Als je bij een klant bent aangekomen, log je met Windows 10 Pro in op je pc op kantoor, zodat je bij al je werkbestanden kunt.","899,-","HP","748190","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","33 cm x 23,35 cm x 1,98 cm","1,49 kg"
Laptops QWERTY,"HP Pavilion X360 14-ba091nd","De HP Pavilion X360 14-ba091nd is een laptop en tablet in één die je meeneemt naar je werk of naar school. Gebruik hem in verschillende standen, want het beeldscherm is 360 graden omklapbaar. Zo gebruik je hem als tablet om met een touchpen grafische kunstwerkjes te maken en zet hem in de tentstand om jouw projecten aan je collega's te laten zien. In de laptopstand ga je aan de slag met een presentatie. Dankzij de 128 GB SSD start je de Pavilion in ongeveer 15 seconden op, waardoor je meteen aan de slag gaat als je hem openklapt. Er zit een uitgebreide garantie op, dus als je een technisch probleem hebt komt er de volgende werkdag een expert langs om het probleem te verhelpen.","779,-","HP","2GR38EA#ABH","14 inch","None","Intel Core i5 7200U","Intel HD Graphics 620","2000 MB","8 GB","128 GB SSD","33,48 cm x 22,69 cm x 1,99 cm","1,63 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2017) 16/512 GB - 3,3GHz Space Gray","De Apple MacBook Pro 13'' Touch Bar (2017) 16/512 GB - 3,3GHz Space Gray beschikt over de Touch Bar. Dit is een touchscreen boven het toetsenbord dat interactieve toetsen en functies laat zien en zich aanpast aan je programma's. Bewerk je foto's, dan zie je op de Touch Bar filteropties of een kleurenpallet. Ben je aan het tekstverwerken, dan verschijnen opties om tekst 'vet' te maken en woordsuggesties. Zo bewerk je foto's en video's in full screen en is je toetsenbord veel interactiever. In de Touch Bar zit ook Touch ID, waarmee je met je vingerafdruk inlogt en betalingen goedkeurt. Randapparatuur sluit je aan op 1 van de 4 usb c aansluitingen, die geschikt zijn om data over te zetten én je MacBook op te laden.","2.599,-","Apple","Z0UN","13,3 inch","2560 x 1600 pixels","Intel Core i5 7287U","Intel Iris Plus Graphics 650","None","16 GB","512 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","None"
Laptops QWERTY,"HP ProBook 430 G3 W4N73ET","De dagelijkse zakelijke klussen voer je overal uit met de HP ProBook 430 G3 W4N73ET. Deze compacte laptop neem je makkelijk onder je arm mee over de afdeling om de laatste resultaten door te nemen met collega's. Bestanden, sheets en programma's open je binnen een paar seconden dankzij de SSD. De vingerafdruksensor zorgt ervoor dat je een unieke inlogmanier hebt. De TPM-chip slaat je werk daarnaast versleuteld op.","849,-","HP","W4N73ET#ABH","13,3 inch","1366 x 768 pixels","Intel Core i5 6200U","Intel HD Graphics 520","None","8 GB","256 GB SSD","32,6 cm x 23,4 cm x 2,1 cm","1,5 kg"
Laptops QWERTY,"Lenovo Ideapad 520-15IKBR 81BF008PMH","Met de Lenovo Ideapad 520-15IKBR 81BF008PMH ga je thuis en op school aan de slag met het bewerken van foto's en het maken van presentaties. De Core i5 processor maakt deze laptop krachtig genoeg om meerdere programma's tegelijkertijd te draaien. Dus maak die zware Excel berekening terwijl je naar je favoriete muziek op Spotify luistert en bestanden downloadt. Bewaar duizenden muziekbestanden en honderden video's op de  512 GB SSD schijf, die je laptop ook nog eens binnen 15 seconden opstart. Bekijk je films op het 15,6 inch IPS beeldscherm, dat levensechte kleuren vanuit elke kijkhoek weergeeft. Het verlichte toetsenbord geeft je net even wat extra gemak in het donker, zodat je minder snel typfoutjes maakt.","799,-","Lenovo","81BF008PMH","15,6 inch","1920 x 1080 pixels","Intel Core i5 8250U","Intel UHD Graphics 620","None","8 GB","512 GB SSD","37,8 cm x 26 cm x 2,2 cm","2,2 kg"
Laptops QWERTY,"Acer Aspire 5 A517-51G-81Q8","De Acer Aspire 5 A517-51G-81Q8 is met zijn 17,3 inch een desktopvervanger waar je foto's en video's op bewerkt en zelfs op gamet. Dankzij de NVIDIA Geforce MX150 videokaart is de Acer Aspire 5 geschikt om simpele games zoals Minecraft op hoge instellingen te spelen. De laptop heeft een Intel Core i7 processor eenvoudig wisselt tussen zware programma's zoals Photoshop en InDesign. Je ziet de ware kleuren van het scherm vanuit elke hoek dankzij het IPS paneel. Dankzij de SSD schijf start de Acer Aspire 5 snel op. Grote bestanden zet je snel over met een snelheid van 1,25 GB per seconde via de usb c poort.","999,-","Acer","NX.GSXEH.006","17,3 inch","1920 x 1080 pixels","Intel Core i7 8550U","NVIDIA GeForce MX150","None","8 GB","1128 GB","42,33 cm x 28,99 cm x 2,83 cm","3 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' (2017) MPXU2N/A Silver","Met de Apple MacBook Pro 13'' MPXU2N/A Silver maak je de mooiste grafische ontwerpen op het heldere Retina scherm. Met een resolutie van 2880 x 1800 zie je de kleinste details en door het IPS paneel neem je ware kleuren vanuit elke hoek goed waar. Houd je werktempo er goed in, want met de PCIe SSD schijf start je programma's binnen enkele seconden op. De compacte behuizing is gemaakt van aluminium, waardoor deze laptop erg stevig is en tegen een stootje kan. Door zijn 13 inch formaat neem je hem gemakkelijk mee naar je opdrachtgever, waar je met de de MacBook Pro goed voor de dag komt.","1.695,-","Apple","MPXU2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 None","Intel Iris Plus Graphics 640","None","8 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"HP Spectre X360 13-ae015nd","Ga aan de slag met grafisch ontwerp in 4K op deHP Spectre X360 13-ae015nd, een laptop en tablet in één. Klap het scherm 360 graden en kies de stand die jij wilt. Ga aan de slag op het Ultra HD touchscreen en maak tekeningen en bewerk foto's waarvan je elk detail ziet. Met Windows Ink gebruik je de Spectre ook als tekentablet en maak je makkelijk aantekeningen met een touchpen. Met 16 GB werkgeheugen en de Intel Core i7 processor werk je met de zwaarste programma's die je helpen bij je projecten, zoals Photoshop en Illustrator. Bewaar al je ontwerpen en documenten op de 1 TB PCIe SSD schijf, die je programma's sneller laadt dan een gewone SSD.","1.999,-","HP","2PM51EA#ABH","13,3 inch","None","Intel Core i7 8550U","Intel UHD Graphics 620","None","16 GB","1 TB SSD","30,7 cm x 21,8 cm x 1,39 cm","1,32 kg"
Laptops QWERTY,"HP Spectre x360 15-bl110nd","De HP Spectre x360 15-bl110nd is een stijlvolle laptop met 4K scherm die je ook als tablet gebruikt. Door de hoge resolutie werk je tot in het kleinste detail aan je grafische projecten. Gebruik hem als tablet en teken zelf je creatieve ideeën uit met een touch pen dankzij Windows Ink. Ook Ultra HD video's renderen is geen probleem. Deze 2-in-1 heeft namelijk een NVIDIA GeForce MX150 videokaart en een snellere achtste generatie Intel Core i7 processor. Bewaar al je ontwerpen en bewerkte video's op de 1 TB PCIe SSD schijf, die je programma's sneller laadt dan een gewone SSD. Inloggen doe je via de infrarood webcam, die Windows Hello ondersteunt. Zit je even zonder stroom? Dan laad je de Spectre met HP Fast Charge in ongeveer 30 minuten weer voor de helft op.","1.999,-","HP","2PL34EA#ABH","15,6 inch","3840 x 2160 pixels","Intel Core i7 8550U","NVIDIA GeForce MX150","2000 MB","16 GB","1 TB SSD","35,6 cm x 25,1 cm x 1,79 cm","2,01 kg"
Laptops QWERTY,"Lenovo Yoga 720-15 80X7009KMH","Speel games als Angry Bird, bewerk video's en swipe door al je apps op het 15 inch Full HD touchscreen van de Lenovo Yoga 720-15 80X7009KMH. Klap het beeldscherm om en gebruik deze 2-in-1 als tablet. Maak digitaal tekeningen dankzij de ondersteuning van Windows Ink. Tekeningen en notities maak je hiermee net zo makkelijk als op papier. De NVIDIA GeForce GTX 1050 videokaart zorgt voor goede grafische prestaties, waardoor je vloeiend video's bewerkt en games op gemiddelde instellingen speelt. Met zijn gewicht van 2 kilogram en dikte van slechts 1,9 centimeter neem je de laptop makkelijk mee in je tas of rugzak.","1.599,-","Lenovo","80X7009KMH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","512 GB SSD","36,4 cm x 24,2 cm x 1,9 cm","2 kg"
Laptops QWERTY,"Acer Spin 5 SP513-51-552G","De Acer Spin 5 SP513-51-552G is een 2-in-1 die je door het 13,3 inch formaat meeneemt naar school, het werk of thuis gebruikt. Draai het toetsenbord tot wel 360 graden en zet hem zo neer in een stand die jij handig vindt. Kantel het toetsenbord weg en gebruik de Spin als tablet, of zet hem in de laptopmodus neer en bewerk een foto. Een presentatie doornemen gaat makkelijk in de presentatiestand: zo swipe je makkelijk door alle slides heen. Het apparaat start in ongeveer 15 seconden op door de 256 GB SSD en ook programma's zijn in enkele seconden geladen.","799,-","Acer","NX.GK4EH.003","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,88 cm x 22,85 cm x 1,97 cm","1,6 kg"
Laptops QWERTY,"HP 17-ak091nd","De HP 17-ak091nd is een laptop die je als desktopvervanger gebruikt. Bekijk je sociale media aan de keukentafel of zet de laptop op je bureau om een belangrijk verslag af te typen. Het 8 GB werkgeheugen helpt je zware taken snel uit te voeren en programma's op de achtergrond te draaien. Zo voer je tijdens maken van een presentatie makkelijk een download via je internetbrowser uit en stream je muziek via Spotify. Op het 17,3 inch beeldscherm heb je genoeg ruimte om met twee vensters naast elkaar te werken of te genieten van je favoriete Netflix series. Bewaar jouw gedownloade luisterboeken en je filmcollectie op de 1 TB harde schijf.","529,-","HP","2FN29EA#ABH","17,3 inch","1600 x 900 pixels","AMD A9 9420","AMD Radeon R5","4000 MB","8 GB","1 TB HDD","41,5 cm x 27,8 cm x 2,46 cm","2,6 kg"
Laptops QWERTY,"Acer Chromebook R13 CB5-312T-K7SP","De Acer Chromebook R13 CB5-312T-K7SP gebruik je voor al je dagelijkse digitale taken. Gebruik de 2-in-1 als laptop of tablet door het toetsenbord 360 graden om het scherm te klappen. Dankzij het Chrome OS besturingssysteem is je laptop binnen enkele seconden opgestart. Door in te loggen op jouw Google account heb je overal direct toegang tot jouw bestanden in de cloud. Hier sla je ook nieuwe bestanden op waaraan je hebt gewerkt. Met de ingebouwde virus beveiliging en de online back-up van al je bestanden werk je veilig met een Chromebook.","429,-","Acer","NX.GL4EH.005","13 inch","1920 x 1080 pixels","Mediatek MT8173","Imagination GX6250","None","4 GB","64 GB flash","32,6 cm x 22,8 cm x 1,55 cm","1,49 kg"
Laptops QWERTY,"Acer Aspire ES1-332-C53V","De Acer Aspire ES1-332-C53V neem je mee naar school, college of je gebruikt hem in de trein om een presentatie te maken, mails te beantwoorden of aantekeningen uit te werken. Bewaar je aantekeningen, presentaties en andere data vervolgens op de 500 GB harde schijf. Het 8 GB werkgeheugen zorgt ervoor dat je meerdere vensters naast elkaar open houdt. Stream een nummer via Spotify terwijl je de presentatie voor morgen in elkaar knutselt. Genoeg tekst bewerkt? Ontspan dan en kijk een film of serie op deze laptop.","429,-","Acer","NX.GFZEH.006","13,3 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","8 GB","500 GB HDD","32,7 cm x 21,6 cm x 2,28 cm","1,7 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar MLH32N/A Space Gray","De Apple MacBook Pro 15'' Touch Bar MLH32N/A Space Gray beschikt over de Touch Bar. Een touchscreen boven het toetsenbord dat interactieve toetsen en functies laat zien. Bewerk je foto's, dan zie je op de Touch Bar filteropties of een kleurenpallet. Ben je aan het tekstverwerken, dan verschijnen opties om tekst 'vet' te maken en woordsuggesties. Zo bewerk je foto's en video's in full screen en is je toetsenbord veel interactiever. In de Touch Bar zit ook Touch ID. Een vingerafdruklezer om snel mee in te loggen en om betalingen goed te keuren. Randapparatuur sluit je aan op 1 van de 4 usb c aansluitingen, die geschikt zijn om én data over te zetten én je laptop op te laden.","2.449,-","Apple","MLH32N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 6700HQ","AMD Radeon Pro 450","2000 MB","16 GB","256 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"Lenovo Legion Y720-15 80VR002EMH","Bezoek virtuele game werelden met de Lenovo Legion Y720-15 80VR002EMH. Deze gaming laptop  heeft een NVIDIA GeForce GTX 1060 videokaart die krachtig genoeg is om virtual reality games te spelen. Speel nieuwe games op hoge instellingen en zet je VR bril op om je in een andere wereld te begeven. De PCIe SSD schijf is sneller dan een traditionele SSD, waardoor je mum van tijd aan het begin van een nieuw level staat. Bewaar muziek, foto's en video's van je mooiste killstreaks op de 1 TB harde schijf. Met het verlichte toetsenbord speel je door in het donker, dus maak je klaar voor een gaming marathon.","1.599,-","Lenovo","80VR002EMH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","6000 MB","16 GB","256 GB SSD + 1 TB HDD","38 cm x 27,7 cm x 2,9 cm","3,2 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2016) MLH52N/A Space Gray","Met de Apple MacBook Pro 15'' Touch Bar MLH52N/A Space Gray bewerk je foto's en video's met behulp van de Touch Bar. Dit is een interactief touchscreen dat toetsen en functies laat zien en zich aanpast aan je programma's. Tijdens het bewerken van foto's kies je via de Touch Bar een filter of kleur en tijdens het typen verschijnen er woordsuggesties. Deze MacBook heeft met de Inte Corel i7 Kaby Lake een sterkere processor, hierdoor werk je sneller met meerdere programma's tegelijkertijd. De Touch Bar ondersteunt ook Touch ID, een vingerafdrukscanner waarmee je inlogt en een online aankoop goedkeurt. De 4 usb c aansluitingen zijn geschikt om data over te zetten én je MacBook op te laden.","3.099,-","Apple","MLH52N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 6929HQ","AMD Radeon Pro 455","2000 MB","16 GB","1 TB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"Lenovo Ideapad 320S-14IKB 80X4007AMH","Gebruik de Lenovo Ideapad 320S-14IKB 80X4007AMH thuis, op je werk en op school om presentaties te maken, foto's te bewerken en zware berekeningen te maken. Deze laptop heeft een Core i7 processor, waardoor je soepel met de zwaarste grafische programma's werkt. Geniet van je beeldmateriaal in levensechte kleuren dankzij het IPS paneel, waarop de kleuren hetzelfde blijven vanuit elke kijkhoek.

Let op: deze laptop heeft een dummy ODD, en dus geen echte dvd-speler.","799,-","Lenovo","80X4007AMH","14 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","23,65 cm x 32,7 cm x 1,93 cm","1,69 kg"
Laptops QWERTY,"Asus ZenBook Flip UX360CA-DQ256T","De Asus ZenBook Flip UX360CA-DQ256T is een 13,3 inch 2-in-1 die je waar dan ook gebruikt als laptop én tablet. Hij weegt slechts 1,3 kilogram en is 1,39 centimeter dik. je zet hem neer in de tentstand om een filmpje te kijken op het beeldscherm met Quad HD+ resolutie. Met het touchscreen swipe je door verschillende bestanden. Wil je een e-mail of verslag typen? Dan flip je het toetsenbord om het scherm en gebruik je het fysieke toetsenbord. Alle programma's starten binnen enkele seconden op dankzij de 128 GB SSD.","799,-","Asus","90NB0BA2-M07400","13,3 inch","3200 x 1800 pixels","Intel Core m3 7Y30","Intel HD Graphics 615","None","8 GB","128 GB SSD","32,3 cm x 22 cm x 1,39 cm","None"
Laptops QWERTY,"Acer Aspire 7 A717-71G-79DS","De Acer Aspire 7 A717-71G-79DS is een vervanger van je desktop waarmee je zware grafische taken uitvoert. Met de Nvidia GeForce GTX 1050 videokaart speel je games als Overwatch op hoge instellingen. Snel een Youtube filmpje kijken terwijl jouw spel geminimaliseerd is? Dankzij het 16 GB werkgeheugen draai je meerdere zware programma's tegelijk zonder dat jouw Acer daar langzamer van wordt. De Intel Core i7 processor zorgt ervoor dat je videobeelden met programma's als Adobe Premiere Pro soepel monteert.Je start deze laptop in ongeveer 15 seconden op met de 256 GB SSD schijf. Vervolgens log je in met de vingerafdruksensor zonder dat je een wachtwoord hoeft in te typen, waardoor je zo weer aan de slag bent.","1.249,-","Acer","NX.GTVEH.001","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","42,33 cm x 28,99 cm x 2,83 cm","3 kg"
Laptops QWERTY,"Asus VivoBook Pro N580VD-E4392T","Met de Asus VivoBook Pro N580VD-E4392T bewerk je video's en foto's, speel je games of multitask je erop los. Wat je ook wil doen, programma's starten in enkele seconden op via de 256 GB SSD, terwijl je overige bestanden en afbeeldingen op de 1 TB harde schijf bewaart. De GTX 1050 videokaart neemt grafische taken op zich, zodat je video's bewerkt en games als Overwatch speelt. Neem deze Asus ook met een gerust hart mee de zon in, want door het anti-reflecterende scherm heb je geen last van lichtinval. Juist heel weinig licht? Op het verlichte toetsenbord vind je altijd de juiste toetsen.","1.299,-","Asus","90NB0FL1-M05890","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38 cm x 25,6 cm x 1,92 cm","2,3 kg"
Laptops QWERTY,"Asus VivoBook Pro N580VD-FJ285T","De Asus VivoBook Pro N580VD-FJ285T is een 15,6 laptop met touchscreen die krachtig genoeg is voor het bewerken van video's en spelen van games. Door met je vingers te swipen blader jij door jouw bestanden heen en zet je een handtekening onder een document zonder dat je die print of scant. Ook bij inloggen op Windows en websites maak jij geen gebruik van het toetsenbord, want met de vingerafdruksensor log jij in zonder wachtwoord. Dankzij de Nvidia GeForce GTX 1050 speel je games als Overwatch op de hoogste instellingen. Je start deze Asus VivoBook in ongeveer 15 seconden op dankzij de 512 GB SSD schijf. Op de 1 TB HDD schijf heb je genoeg ruimte voor bestanden en games.","1.599,-","Asus","90NB0FL2-M08370","15,6 inch","3840 x 2160 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","4000 MB","16 GB","512 GB SSD + 1TB HDD","38 cm x 25,6 cm x 2,05 cm","2,29 kg"
Laptops QWERTY,"Microsoft Surface Laptop - i5 - 8 GB - 256 GB","De Microsoft Surface Laptop is een 13,5 inch laptop met touchscreen en is speciaal ontworpen voor scholieren en studenten. Gebruik hem tijdens college om door documenten of pagina's te swipen en deel relevante informatie met medestudenten via Microsoft Groups. Het scherm heeft 3,4 miljoen pixels en een 2256 x 1504 pixels resolutie, waardoor alles op je scherm er haarscherp uitziet. Met een dikte van 14,5 millimeter en een gewicht van slechts 1,25 kilogram neem je de Surface Laptop mee in je rugzak van de ene les naar de ander. Door de lange batterijduur tot 14,5 uur gebruik je de Surface Laptop de hele dag zonder problemen. De Surface Laptop werkt met Windows 10 S, het nieuwe lichte besturingssysteem van Microsoft.","1.499,-","Microsoft","DAG-00014","13,5 inch","2256 x 1504 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","30,802 cm x 22,32 cm x 1,447 cm","1,25 kg"
